Animal ID,Diet,SDNN,RMSSD,LF,HF,LF/HF,timepoint,dose,Trt Code,
1,VDD,2.318370611,3.162486522,1.255926881,0.3848496568,3.263422114,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
1,VDD,4.389036434,5.68456557,9.937629564,2.608411508,3.809839641,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
1,VDD,4.737966399,4.883237771,1.016998621,0.3274906663,3.105427805,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
1,VDD,5.85714937,5.958268489,9.576658953,0.9039833695,10.59384417,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
1,VDD,3.641280699,4.345562804,1.893925384,0.498826612,3.796760916,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
1,VDD,4.333601238,3.540435986,1.078436576,0.5577623845,1.933505389,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
1,VDD,.,.,.,.,.,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
1,VDD,.,.,.,.,.,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
2,VDD,1.176606191,1.077926529,0.02793152345,0.05387599379,0.518440988,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
2,VDD,1.116763669,1.561426622,.,.,.,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
2,VDD,1.326890401,1.576859691,0.6647583889,0.4653138961,1.428623547,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
2,VDD,1.458408747,1.239897863,0.1148337393,0.09661186373,1.188609088,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
2,VDD,1.416119588,1.249122499,0.04542170501,0.09354104243,0.4855804878,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
2,VDD,2.589916555,1.240589578,0.1301577185,0.1209921079,1.075753789,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
2,VDD,2.050227321,1.128555437,0.08297836023,0.1238831633,0.6698114418,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
2,VDD,1.225010271,1.181814318,0.07440084573,0.09212163227,0.8076370761,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
2,VDD,2.273626714,1.340160763,0.02958273543,0.07013422063,0.4218017277,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
2,VDD,2.064507995,1.814550245,0.6911234859,0.2619762359,2.638115185,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
2,VDD,1.814715405,1.538882453,0.4575655817,0.1103505814,4.146471869,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
2,VDD,1.908656773,1.509902432,0.300977091,0.1855222297,1.622323597,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
2,VDD,1.454428959,1.370106924,0.6057070002,0.173741722,3.48624955,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
2,VDD,1.256195353,1.159720623,0.06241271529,0.0775931345,0.8043587322,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
2,VDD,1.416509284,0.9411593307,0.08763634522,0.08210234525,1.067403677,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
2,VDD,0.8829311561,0.8883448804,0.06764771892,0.06935343551,0.9754054492,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
2,VDD,1.100905532,1.002427188,0.05370353877,0.0623596199,0.8611909255,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
3,VDD,3.020741657,1.756507885,0.6173695666,0.2488191153,2.481198303,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
3,VDD,1.947193141,1.714020523,0.4057455503,0.2234697063,1.815662432,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
3,VDD,2.966528572,1.886540788,0.5761388811,0.4911832257,1.172961231,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
3,VDD,2.741554639,3.441837522,0.8332897292,1.567321709,0.5316647656,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
3,VDD,5.06058824,3.074054997,1.395369989,0.870399727,1.603136979,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
3,VDD,5.800403497,3.104414633,4.786994728,1.250274847,3.828753927,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
3,VDD,4.849594917,2.243062264,0.9049276904,0.4763228451,1.899820048,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
3,VDD,5.342515622,3.219086115,3.378515459,1.61291981,2.094658047,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
4,VDD,1.163944165,1.074862223,0.04858301994,0.08558111686,0.5676838738,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
4,VDD,1.67904671,1.392889387,0.9738452714,0.1599755531,6.087463067,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
4,VDD,1.991092399,1.493994164,0.1684120197,0.1070550669,1.573134505,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
4,VDD,5.072847999,2.890095335,0.3786892151,0.1786874751,2.119282367,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
4,VDD,4.145310666,2.424392645,1.316217486,0.2379624127,5.531199114,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
4,VDD,6.026282096,2.540213657,1.297824654,0.3280390685,3.956311241,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
4,VDD,2.504913983,1.82938061,0.04244507742,0.09198893952,0.4614150097,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
5,VDD,.,.,.,.,.,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
5,VDD,12.53309556,10.12770911,23.77199417,1.909546709,12.44902471,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
5,VDD,11.47643567,8.066933112,10.57812326,3.646102024,2.901214279,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
5,VDD,6.790491901,6.263999601,11.36639773,2.879060673,3.947953524,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
5,VDD,7.879519366,7.454337033,18.88825297,4.78114383,3.950572006,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
5,VDD,5.859355873,4.257468588,6.702938361,1.740158424,3.851912716,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
5,VDD,4.055510526,3.90041087,3.638142624,0.7271771975,5.003103282,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
5,VDD,3.771932058,2.26332793,0.4930962009,0.123138797,4.00439352,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
6,VDD,3.885897064,3.317413993,0.8815310494,0.4475928456,1.969493164,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
6,VDD,5.072766504,4.203662914,7.171292724,2.676922459,2.678931809,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
6,VDD,6.040436974,5.006118705,14.47142919,2.76272179,5.238105856,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
6,VDD,7.003946749,4.283162078,11.76291604,1.775077345,6.626706195,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
6,VDD,6.324839209,3.887943527,2.444317622,1.131042429,2.161119299,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
6,VDD,7.796564439,5.117522173,11.9287023,2.016888436,5.914408595,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
8,VDD,1.230615111,0.9763995527,0.1762932119,0.0549663014,3.207296243,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
8,VDD,1.430903367,1.079420244,0.151850883,0.08884833452,1.709102189,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
8,VDD,3.606411837,1.849910758,2.56539479,0.5672512679,4.52250164,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
8,VDD,5.355356917,2.085551741,1.584992662,0.2544864727,6.228200049,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
8,VDD,6.300933496,2.791156911,3.411677272,0.4061571589,8.399894469,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
8,VDD,4.709036465,2.502846864,2.471999526,0.278254678,8.883945972,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
8,VDD,5.029518388,2.583970622,5.811300284,1.29948652,4.471997356,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
8,VDD,6.810670728,3.121726084,3.622968077,0.3005462445,12.05461104,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
8,VDD,8.908481867,2.778300604,6.656393078,0.8239488367,8.078648554,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
9,VDD,2.688538137,1.477274331,0.2857534502,0.09953684093,2.870831016,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
9,VDD,3.067971476,1.620919786,0.2545723238,0.08592679518,2.962665177,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
9,VDD,4.103497729,1.518309309,0.3924873066,0.1765233952,2.223429399,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
9,VDD,3.638500351,1.597989809,0.5073491936,0.32939536,1.540243899,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
9,VDD,5.558102719,2.184277726,3.951443116,0.3260984535,12.11733167,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
9,VDD,4.351903902,2.333880615,3.615608642,0.4788230694,7.551032674,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
9,VDD,5.852222499,2.200973021,4.549091086,0.5115430526,8.892880206,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
10,VDD,7.696153096,10.48777891,9.054299192,3.45543191,2.62030896,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
10,VDD,6.524511756,9.706415482,8.687427759,2.800779352,3.101789419,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
10,VDD,7.824725262,10.67637509,9.119342245,2.459444365,3.707887186,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
10,VDD,8.917615187,11.66322849,17.71409129,4.914839593,3.604205378,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
10,VDD,8.839065637,12.01935451,11.18856255,3.020580231,3.704110369,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
10,VDD,7.65774754,8.938265637,17.58893991,1.56676594,11.22627156,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
10,VDD,6.932312621,9.219695944,5.689724561,2.287333388,2.487492462,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
10,VDD,9.549017613,12.72256406,14.54271058,3.189472671,4.559597175,dobutamine only,0.5 mg/kg,VDD-dobutamine only-0.5 mg/kg,-
11,ND,4.185086578,2.264711871,0.4968299773,0.3849487687,1.290639217,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
11,ND,7.179510479,5.323279214,16.44318992,2.914212611,5.642412587,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
11,ND,7.573648937,6.365427454,19.74158399,3.399543544,5.807127851,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
11,ND,5.002082827,3.456748823,4.818031916,1.245827091,3.867335967,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
11,ND,5.03020399,4.669777102,2.455781157,1.123031922,2.186742076,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
11,ND,5.319843823,4.211602772,17.19574276,1.370672197,12.54548155,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
11,ND,17.53396704,22.28631867,8.868521864,0.06594401292,134.4856261,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
12,ND,1.270868934,1.648993051,0.8690521846,0.3891689808,2.23309726,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
12,ND,1.97189073,1.200405024,0.1332431601,0.1054580976,1.263470167,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
12,ND,3.330925922,1.375995977,0.412785573,0.1533387118,2.691985397,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
12,ND,5.034191689,2.120745382,0.8106760603,0.2755175178,2.94237574,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
12,ND,5.65397804,2.385045536,3.566755525,0.9387959563,3.799287269,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
12,ND,4.275436411,1.699104624,2.227121349,0.3021631132,7.370593073,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
12,ND,3.942518712,1.734892566,1.019454577,0.3138875512,3.247833732,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
12,ND,5.917452054,2.186077236,4.042333495,0.4302937951,9.394356926,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
12,ND,6.729678944,2.191323708,1.485966342,0.2488477333,5.971387893,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
12,ND,2.176025361,1.910654969,0.2966431133,0.193652236,1.531834176,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
14,ND,2.841051112,4.277713841,1.269931396,1.58129607,0.803095271,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
14,ND,3.005119742,3.347180076,0.2182080147,0.5519379238,0.3953488341,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
14,ND,2.915055526,3.123418584,0.44595351,0.8572696328,0.5202021545,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
14,ND,4.658469963,3.808957283,0.8991093599,1.02645365,0.8759376132,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
14,ND,3.302294839,3.233181192,0.76365386,0.8073834487,0.9458378931,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
14,ND,3.576989169,3.914927627,0.6771382831,1.085821263,0.6236185511,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
15,ND,2.08169626,2.733224734,0.3530429005,0.2454798614,1.438174596,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
15,ND,2.50804767,3.291164643,0.1531662114,0.1029891664,1.487207021,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
15,ND,3.35082115,4.487256175,5.144530623,2.292197475,2.244366237,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
15,ND,6.383740271,4.240301726,9.904488261,1.039090482,9.531882382,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
15,ND,6.393184368,2.936315926,6.438870779,1.374687144,4.683880844,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
15,ND,4.378745248,2.445420144,3.723359346,0.4049459526,9.194706904,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
15,ND,14.79672391,4.777722227,3.282994508,1.308957501,2.508098625,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
15,ND,6.33218509,4.173710155,5.467541283,2.013671132,2.71521064,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
16,ND,4.404095255,5.390602817,0.4304189768,1.497353769,0.2874530961,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
16,ND,5.288013079,7.544042867,1.616391959,3.244554026,0.4981861747,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
16,ND,.,.,.,.,.,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
16,ND,5.644009004,8.007701772,3.75104476,4.15463152,0.902858591,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
16,ND,5.799264405,7.571269418,1.721200037,3.264045931,0.5273210223,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
16,ND,7.332505391,7.045650122,3.723579076,3.912938353,0.9516068846,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
16,ND,2.847291826,4.563310637,0.95201419,1.393111434,0.6833726052,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
17,ND,3.032427305,2.081665999,0.2365231613,0.2493912903,0.9484018506,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
17,ND,2.453813352,2.818867756,1.07179828,0.613947165,1.745750027,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
17,ND,3.610540851,2.333795608,3.38081931,0.371124116,9.109672922,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
17,ND,2.645494599,2.114040127,0.1955827634,0.3695800583,0.5292026965,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
17,ND,2.789120196,2.540725202,0.4351314034,0.6428494921,0.6768791275,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
17,ND,3.805133727,3.067319792,0.753853945,0.7340645402,1.026958671,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
17,ND,2.093550051,2.878922445,0.2372504128,0.4821162779,0.4921020585,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
17,ND,2.307155533,2.0076216,0.3028100122,0.2782653307,1.088206035,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
17,ND,1.448910827,1.859646303,0.5252956289,0.3553010705,1.478452143,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
18,ND,8.301205429,8.62331468,14.84316383,3.309472083,4.485054854,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
18,ND,12.38010232,12.51266026,34.46041261,3.649929288,9.441391846,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
18,ND,19.02555931,18.06229157,47.21620687,0.9607288374,49.14623672,dobutamine only,0.5 mg/kg,ND-dobutamine only-0.5 mg/kg,-
